compound_name	CURATE_species	CURATE_publication_doi	n_spectra	max_peaks	in_export	missing	needs_structure_too	formula	compound_class	inchikey	smiles	name_variants
Gibberellic acid			27	244	P3+P4	species;publication		C19H22O6		IXORZMNAPKEEDV-OBDJNFEBSA-N	C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O	
Beauverolide 483			17	697	P3+P4	species;publication;structure	YES	C24H41N3O7		N/A		
Pseudofuscochalasin A			16	10	P3+P4	species;publication;structure	YES	C28H33NO5		N/A		
21-O-deacyl-L-696.474			15	1432	P3+P4	species;publication		C28H37NO3	Alkaloids	CZWPJPMFISENGB-BAVZRDLGSA-N	CC1(CC(=C(C2(C(C(=C)C(C)(C3(C(CC4=CC=CC=C4)(N=C(C23C(C(=C(C(C)(C1)[H])[H])[H])(O)[H])O)[H])[H])[H])(O)[H])[H])[H])[H])[H]	
Brasilan D			15	56	P3+P4	species;publication;structure	YES	C23H39NO7		WQENHTBYSXNZOC-QOFKYMNVSA-N		
Cinnamosmolide			15	324	P3+P4	species;publication		C17H24O5		PSJFPRLDKNCZGQ-OSRSDYAFSA-N	CC(=O)O[C@@H]1C=C2C(=O)OC[C@@]2([C@@]3([C@@H]1C(CCC3)(C)C)C)O	
Terphenyl-Derivat A (F97)			15	482	P3+P4	species;publication;structure	YES	C22H22O6		JOVXGJFDWIAZDW-UHFFFAOYSA-N		
Bis-Heimiomycin A			14	927	P3+P4	species;publication		C36H40O10	Terpenoids	LXLSWKSAGIQZMF-WNRNVDISSA-N	CC(C)C1(CCC(C)(C2=C1C(=C(C=O)C(=C2O)O)C3=C(C(C(C4=C(C=O)C(=C(C=5C(C)(CCC(C(C)C)(C54)[H])[H])O)O)=C(C3=O)O)=O)O)[H])[H]	
Viomellein			14	667	P4	species;publication		C30H24O11	Polyketides	CKVKZAJXACTIEL-GHMZBOCLSA-N	CC1(CC2=CC3=CC(=C(C=4C(C5=C(C=C6CC(C)(OC(C6=C5O)=O)[H])C(C4OC)=O)=O)C(=C3C(=C2C(=O)O1)O)O)OC)[H]	
6´-Dechloroarnamial			13	42	P3+P4	species;publication;structure	YES	C24H30O6		N/A		
