compound_name	status	your_note	CURATE_species	CURATE_publication_doi	n_spectra	max_peaks	in_export	formula	inchikey	compound_class
Asperloxine A	DOI missing/uncertain		Aspergillus ochraceus	?	7	1102	P3	C21H19N3O5	YWIHZIZWXOCIAO-KRWDZBQOSA-N	Alkaloids
19-O-Acetyl chaetoglobosin A	DOI missing/uncertain		Ijuhya vitellina		2	93	P3+P4	C34H38N2O6	N/A	
Terphenyl-Derivat A (F97)	no species, no DOI				15	482	P3+P4	C22H22O6	JOVXGJFDWIAZDW-UHFFFAOYSA-N	
Viomellein	no species, no DOI				14	667	P4	C30H24O11	CKVKZAJXACTIEL-GHMZBOCLSA-N	Polyketides
Rubiginosin F	no species, no DOI				10	250	P3+P4	C28H36O6	OJABKQPELNYIFZ-RBTNQOKQSA-N	Polyketides
Rubiginosin G	no species, no DOI				10	4	P3+P4	C28H38O7	N/A	
10-Oxodihydrobotry-1(9).4(5)-diendial	no species, no DOI				8	99	P3+P4	C15H20O2	PCEVLQFNPPWJEB-RFAUZJTJSA-N	
Apigenin 7-O-Beta-D-xyloside	no species, no DOI				8	252	P3	C20H18O9	QFUCEHKWZUCKIP-UHFFFAOYSA-N	Shikimates and Phenylpropanoids
Cyclodepsipeptide_YE1_F2-23	no species, no DOI				8	972	P3+P4	C45H62N8O10	N/A	
(6R9S)-Cyclo(phenylalanylprolyl)	no species, no DOI				6	55	P4	C14H16N2O2	QZBUWPVZSXDWSB-UHFFFAOYSA-N	
6-Hyxdroxy-3a,5,5,8-tetramethyl-3,3a4,5tetrahydrat	no species, no DOI				6	101	P3	C15H18O3	N/A	
CAS: 24179-83-7	no species, no DOI				6	226	P3+P4	C15H22O3	IFXUIBDOUVPQHB-TYNCELHUSA-N	
(R)-Semixanthomegnin	no species, no DOI				4	314	P4	C15H12O6	YPJWDOQDLYENRC-ZCFIWIBFSA-N	
3-Hydroxy-10-oxodehydrodihydrobotrydial	no species, no DOI				4	126	P3+P4	C15H18O3	OGKCRIOQDYPIOZ-OAHLLOKOSA-N	Terpenoids
Cytochalasa-triene-dione	no species, no DOI				4	557	P3	C28H35NO3	DJRDYUOZKZSHPE-RQJKQRGLSA-N	
Cytochalasin B2	no species, no DOI				4	70	P3	C30H39NO5	N/A	
Lupallene B	no species, no DOI				4	78	P4	C16H24O4	CIIGZSXCGIFGHK-GDOKRMGTSA-N	
Italicic acid methyl ester	no species, no DOI				3	98	P4	C16H18O6	JXPYUBCGMFPIBF-UHFFFAOYSA-N	Polyketides
Lupallene D	no species, no DOI				3	62	P3+P4	C18H26O5	UGXODBMUJCBGKG-UHFFFAOYSA-N	
Pyrichalasin J	no species, no DOI				3	39	P3+P4	C29H37NO4	N/A	
(R)-Semivioxanthin	no species, no DOI				2	328	P4	C15H14O5	BWNCKEBBYADFPQ-SSDOTTSWSA-N	Shikimates and Phenylpropanoids
6-epi-cytochalasin P1	no species, no DOI				2	4	P4	C30H39NO8	N/A	
cyclo(L-Phe-L-Pro)	no species, no DOI				2	52	P3+P4	C14H16N2O2	QZBUWPVZSXDWSB-RYUDHWBXSA-N	
Terphenyl-Derivat C	no species, no DOI				2	146	P3	C21H20O6	SKKUPTPBYKRTOQ-UHFFFAOYSA-N	
Terphenyl-Derivat D	no species, no DOI				2	1010	P4	C21H18O6	QOFOPUXDBNNMHW-UHFFFAOYSA-N	
CBS123585-F2-1-2	no species, no DOI				1	329	P3	C20H28O4	BUWDNPHDSFZGPW-MPCUKPJOSA-N	
21-O-deacyl-L-696.474	species uncertain	synthetic?	synthetic?		15	1432	P3+P4	C28H37NO3	CZWPJPMFISENGB-BAVZRDLGSA-N	Alkaloids
Cinnamosmolide	species uncertain	plant compound?	plant compound?		15	324	P3+P4	C17H24O5	PSJFPRLDKNCZGQ-OSRSDYAFSA-N	
Epoxycytochalasin C2	species uncertain	synthetic?	synthetic?		13	10	P3+P4	C28H35NO6	N/A	
4'7-Dihydroxyisoflavone	species uncertain	plant compound?	plant compound?		6	253	P4	C15H10O4	ZQSIJRDFPHDXIC-UHFFFAOYSA-N	Shikimates and Phenylpropanoids
Cytochalasin J4	species uncertain	synthetic?	synthetic?		6	80	P3+P4	C28H35NO3	N/A	
Epoxycytochalasin C1	species uncertain	synthetic?	synthetic?		6	53	P3+P4	C30H37NO8	N/A	
Palmarumycin C3-5.8-quinone	species uncertain	synthetic?	synthetic?		6	128	P3+P4	C20H10O6	OJAVNHSKBHEAOA-RTBURBONSA-N	
Ophiotine	species uncertain	fungus? Ask marc	fungus? Ask marc	10.1021/acs.jnatprod.8b00486	1	3	P3	C45H62N8O10	N/A	
